base_total_goals,share_scale,mismatch_total_bonus,mismatch_scale,draw_boost_max,draw_boost_scale,status,error,n_matches,accuracy,mean_brier_score,mean_log_loss,mean_actual_outcome_probability,predicted_draw_rate,actual_draw_rate,draw_calibration_error,goal_mae,goal_rmse
2.65,220,0.7,800,0.045,220,ok,,866,0.6004618937644342,0.5299244215248248,0.8985768611388925,0.4681137867624439,0.23007041652780577,0.22632794457274827,0.0037424719550575025,0.9474633818661892,1.2545252641539633
2.55,220,0.9,500,0.045,150,ok,,866,0.6004618937644342,0.5300225820115767,0.8985809756634595,0.4715753058503929,0.22360971561307025,0.22632794457274827,0.0027182289596780207,0.9473206450540421,1.2525788790842172
2.45,220,0.9,500,0.015,220,ok,,866,0.6004618937644342,0.5299479081290088,0.898581687698914,0.47083860999523347,0.2189815924707281,0.22632794457274827,0.0073463521020201705,0.9376889806673158,1.2500031302840564
2.45,220,0.9,650,0.015,300,ok,,866,0.6004618937644342,0.5298688831780058,0.8985827098323779,0.46763427128989876,0.22497696740890685,0.22632794457274827,0.0013509771638414159,0.9330071175093465,1.2505617844221188
2.75,220,0.7,800,0.035,220,ok,,866,0.6004618937644342,0.5299785309322872,0.8985838317918303,0.471656614970661,0.21936948284270344,0.22632794457274827,0.006958461730044829,0.9580830718393346,1.2585145035842173
2.45,220,0.9,650,0.025,220,ok,,866,0.6004618937644342,0.5298827441449796,0.8985846111431831,0.4669847469099319,0.22881703716800983,0.22632794457274827,0.0024890925952615606,0.9330071175093465,1.2505617844221188
2.65,220,0.7,650,0.025,300,ok,,866,0.6004618937644342,0.5299722175118917,0.8985857709782941,0.4712147932583947,0.21921441817585224,0.22632794457274827,0.007113526396896025,0.9513838434059909,1.2554956501884784
2.45,220,0.9,500,0.045,100,ok,,866,0.6004618937644342,0.5299561400514625,0.8985862728552056,0.47049483288139127,0.22451694604664588,0.22632794457274827,0.001810998526102392,0.9376889806673158,1.2500031302840564
2.65,220,0.9,800,0.035,150,ok,,866,0.6004618937644342,0.5299114102179654,0.8985876267242617,0.470464627065014,0.22105488102362647,0.22632794457274827,0.005273063549121798,0.947448973606558,1.2539702558394816
2.45,220,0.9,650,0.015,220,ok,,866,0.6004618937644342,0.5298670655616087,0.898589059215493,0.4680841397796852,0.22367664276902904,0.22632794457274827,0.002651301803719225,0.9330071175093465,1.2505617844221188
2.65,220,0.7,650,0.045,150,ok,,866,0.6004618937644342,0.5299745840587072,0.8985966075106372,0.4713471681560383,0.22235815657823252,0.22632794457274827,0.00396978799451575,0.9513838434059909,1.2554956501884784
2.55,220,0.7,650,0.035,300,ok,,866,0.6004618937644342,0.5299358285424549,0.8985980147408478,0.46733715408657467,0.2309598883199177,0.22632794457274827,0.004631943747169437,0.9414236110249639,1.2526050603711958
2.55,220,0.9,800,0.045,100,ok,,866,0.6004618937644342,0.5298549863542295,0.898598530601071,0.46853662914096994,0.22608235257765752,0.22632794457274827,0.00024559199509074925,0.9381916067814225,1.2522903431141248
2.65,220,0.9,650,0.035,150,ok,,866,0.6004618937644342,0.5299937300426603,0.8985990852813605,0.4721724802140863,0.2182596427452433,0.22632794457274827,0.008068301827504981,0.951383798294315,1.25412365511037
2.65,220,0.7,800,0.035,150,ok,,866,0.6004618937644342,0.5299140285913322,0.8985992403701096,0.47045380041145446,0.22106458894691824,0.22632794457274827,0.005263355625830024,0.9474633818661892,1.2545252641539633
2.55,220,0.9,800,0.035,100,ok,,866,0.6004618937644342,0.5298481748627344,0.8985995304303402,0.468980383821161,0.22313880920557108,0.22632794457274827,0.003189135367177187,0.9381916067814225,1.2522903431141248
2.55,220,0.7,650,0.045,100,ok,,866,0.6004618937644342,0.5299064412907072,0.8986043926437642,0.470251768831213,0.2231803622714922,0.22632794457274827,0.0031475823012560578,0.9414236110249639,1.2526050603711958
2.55,220,0.9,500,0.035,150,ok,,866,0.6004618937644342,0.5300255545563509,0.8986058573137153,0.47232810854051455,0.21957373069463426,0.22632794457274827,0.006754213878114007,0.9473206450540421,1.2525788790842172
